framenum,queue density,dynamic density
419,0.432825,0.0705804
420,0.431747,0.0777909
421,0.437966,0.0812943
422,0.440419,0.0834849
423,0.441387,0.079715
424,0.448245,0.0839042
425,0.453927,0.0839551
426,0.455844,0.0803734
427,0.461569,0.0826031
428,0.46673,0.0825444
429,0.469802,0.0802832
430,0.475285,0.0839865
431,0.480108,0.0842843
432,0.483776,0.0816509
433,0.489972,0.0856402
434,0.495897,0.0873683
435,0.497566,0.0846409
436,0.502179,0.0892023
437,0.507571,0.0908364
438,0.509519,0.0877093
439,0.514734,0.092882
440,0.517905,0.0920316
441,0.521663,0.0858753
442,0.525017,0.0911146
443,0.527466,0.0916437
444,0.528756,0.0872664
445,0.538541,0.0965147
446,0.540833,0.095535
447,0.541335,0.0933875
448,0.544885,0.0947552
449,0.547918,0.093607
450,0.54833,0.092784
451,0.552143,0.0936462
452,0.553671,0.0887987
453,0.553628,0.0883363
454,0.556018,0.0894845
455,0.558812,0.0904876
456,0.559028,0.0898567
457,0.560991,0.0938891
458,0.564428,0.0936266
459,0.565208,0.0919689
460,0.567136,0.0933562
461,0.569926,0.0937128
462,0.571129,0.0915457
463,0.572842,0.0949433
464,0.575565,0.0938186
465,0.576937,0.0889084
466,0.5789,0.0909305
467,0.579758,0.0886733
468,0.580577,0.0848799
469,0.58122,0.0863926
470,0.595754,0.0900644
471,0.59657,0.0849426
472,0.596812,0.0864553
473,0.597416,0.0836886
474,0.597146,0.0797033
475,0.5976,0.0806438
476,0.597632,0.0790057
477,0.598603,0.068574
478,0.599779,0.0700161
479,0.601006,0.0683076
480,0.600959,0.0637658
481,0.602342,0.0675709
482,0.601515,0.0671124
483,0.601456,0.0638872
484,0.602216,0.0665951
485,0.602667,0.0665481
486,0.60206,0.0623472
487,0.60215,0.064718
488,0.602271,0.0612538
489,0.602381,0.056567
490,0.602824,0.0583932
491,0.603196,0.0556187
492,0.603059,0.0514531
493,0.6034,0.053146
494,0.60398,0.0517587
495,0.602624,0.0545214
496,0.602585,0.0562457
497,0.603796,0.0557754
498,0.603126,0.0522055
499,0.603271,0.0539846
500,0.603231,0.053193
501,0.602205,0.0505243
502,0.602487,0.0494741
503,0.602185,0.0502461
504,0.602695,0.0462725
505,0.602781,0.0507203
506,0.601636,0.0517587
507,0.600586,0.047985
508,0.600586,0.0494623
509,0.599795,0.0477734
510,0.59943,0.044658
511,0.599708,0.0486982
512,0.600602,0.0489725
513,0.600719,0.0481613
514,0.60282,0.0525895
515,0.60483,0.0566141
516,0.60639,0.0567003
